HolderAddress,Balance
0x9c94608cec5f781eb291bcac7f1fcf9f856fdce6,20000000
0xfae749187b1e3fb4408488ebafe0e04838735751,20000000
0x3ade81259fa96bc3f328d166f1f63dff2ad544eb,17248016.91
0xee5f96b646f41f7bb892aeeea08d39aa7c2a6779,15788113.15
0xf56afcf80b7cdb817c741f69b0663b643dc6cbdf,15001195.64
0x8f8071cda2594d8891e440fd05b911c854094188,5953177.198
0xb0ac2deed2e5f14238afd9e141c608037ded2276,4748316.217
0x2ad2ea1f414fc5dcbe470053f418ca1655a74b04,1679190.631
0x277ae12e7001fd2c752030a0c70be7670ad4a868,418502.7967
0x02459b82a84225d434ffe049eb16307ef47445e6,30595
0x0484997f182d79eae6c1c152fcab9565a2d7d1ab,30595
0x066a9aa2a3012e7dcf223230f7f2a3bf1f2ed40c,30595
0x069319fedcc5aa7985b4f3ba0c392a482d63977a,30595
0x088fad93a5b148acd08d31cf71957af8e245cdd8,30595
0x0bc9ebc23532e92cd75ae702280430ce12c180b2,30595
0x0d871ddc6b611cdfb9bbacf3149a25475e2dc3d2,30595
0x1040bf9b13ba096ec3738935de0225c62acf5d4d,30595
0x1221cb0a01245b7bce725a30138ca6f1645c0883,30595
0x127018377a31f72ff378ffb0f435de7ed0358df1,30595
0x17407da38229cab497489295e1e00ffe1eaffd38,30595
0x1f51a0bfc001f279a10c47156f5d0c4bbca7861e,30595
0x1fb11612bd7db718d1fc0a393f70dacf6d779f0b,30595
0x21a01be4dc87f8231bb9fc758f4c4281e9961502,30595
0x2a4d91c9cbb72f5ccaca64185e4719171e38a977,30595
0x2a641b4f4fa98196841907ecc23d05afe7f65cee,30595
0x2c39d8b352a2098440cc536b9d44fa9b414d8526,30595
0x2dc01a2621733e6687944113da9da247a0231ede,30595
0x2fdf43a6cdf55d3b499a53f7b72ba2f682c5fadc,30595
0x322444cb1dc0d76720b92ca2bbdfa4efa4fbd7d0,30595
0x322ed2aa006cd0318a5dcad2a4453df6bdcea3f6,30595
0x32bd684e72cbcc67fd5e983db18729234c31a9b9,30595
0x3891242ed2bb0e3736f52792d175b5b779b12052,30595
0x3bdb401c6a99a1f877661d3394ed59a751677f4b,30595
0x3d9e3ed7acd6a5830e23d97c45908fc3f8d737e4,30595
